Data,PrevisaoPreco
2024-02-01,63.019745
2024-02-02,62.358604
2024-02-03,61.759193
2024-02-04,61.268456
2024-02-05,60.809845
2024-02-06,60.4061
2024-02-07,60.069656
2024-02-08,59.734486
2024-02-09,59.471256
2024-02-10,59.243675
2024-02-11,59.084705
2024-02-12,58.92575
2024-02-13,58.787987
2024-02-14,58.758556
2024-02-15,58.8428
2024-02-16,58.92704
2024-02-17,59.036987
2024-02-18,59.286148
2024-02-19,59.544453
2024-02-20,59.802757
2024-02-21,60.06106
2024-02-22,60.398384
2024-02-23,60.736324
2024-02-24,61.167587
2024-02-25,61.63421
2024-02-26,62.1019
2024-02-27,62.639423
2024-02-28,63.176952
2024-02-29,63.86354
2024-03-01,64.99964
2024-03-02,64.15775
2024-03-03,63.39591
2024-03-04,62.786987
2024-03-05,62.28786
2024-03-06,61.88411
2024-03-07,61.480354
2024-03-08,61.076603
2024-03-09,60.704155
2024-03-10,60.462975
2024-03-11,60.227165
2024-03-12,59.99135
2024-03-13,59.92526
2024-03-14,60.015854
2024-03-15,60.16763
2024-03-16,60.347763
2024-03-17,60.606064
2024-03-18,60.864372
2024-03-19,61.122684
2024-03-20,61.380985
2024-03-21,61.63929
2024-03-22,61.89759
2024-03-23,62.160015
2024-03-24,62.546875
2024-03-25,63.013496
2024-03-26,63.492085
2024-03-27,64.05709
2024-03-28,64.77962
2024-03-29,65.60061
2024-03-30,66.46404
2024-03-31,67.39244
2024-04-01,67.48032
2024-04-02,66.57311
2024-04-03,65.72678
2024-04-04,64.936264
2024-04-05,64.145744
2024-04-06,63.489937
2024-04-07,62.99245
2024-04-08,62.55462
2024-04-09,62.190678
2024-04-10,61.888325
2024-04-11,61.66862
2024-04-12,61.64475
2024-04-13,61.702576
2024-04-14,61.805687
2024-04-15,61.958122
2024-04-16,62.138092
2024-04-17,62.31806
2024-04-18,62.498024
2024-04-19,62.7009
2024-04-20,62.959206
2024-04-21,63.217514
2024-04-22,63.475815
2024-04-23,63.734123
2024-04-24,64.0221
2024-04-25,64.49798
2024-04-26,65.20489
2024-04-27,65.99743
2024-04-28,66.789955
2024-04-29,67.654305
2024-04-30,68.54601
2024-05-01,70.23066
2024-05-02,69.32345
2024-05-03,68.41623
2024-05-04,67.509026
2024-05-05,66.7569
2024-05-06,66.05106
2024-05-07,65.368965
2024-05-08,64.81416
2024-05-09,64.344635
2024-05-10,64.05626
2024-05-11,63.948757
2024-05-12,63.901844
2024-05-13,63.870407
2024-05-14,63.91402
2024-05-15,63.998363
2024-05-16,64.0827
2024-05-17,64.19851
2024-05-18,64.35971
2024-05-19,64.52091
2024-05-20,64.682106
2024-05-21,64.84331
2024-05-22,65.09239
2024-05-23,65.46864
2024-05-24,65.90863
2024-05-25,66.56838
2024-05-26,67.33516
2024-05-27,68.14495
2024-05-28,69.020775
2024-05-29,69.8966
2024-05-30,70.810036
2024-05-31,71.75023
2024-06-01,73.24104
2024-06-02,72.39623
2024-06-03,71.55143
2024-06-04,70.70662
2024-06-05,69.86181
2024-06-06,69.05991
2024-06-07,68.42118
2024-06-08,67.78244
2024-06-09,67.32218
2024-06-10,66.91451
2024-06-11,66.60789
2024-06-12,66.36765
2024-06-13,66.27027
2024-06-14,66.28603
2024-06-15,66.301796
2024-06-16,66.31756
2024-06-17,66.39374
2024-06-18,66.47808
2024-06-19,66.576004
2024-06-20,66.80632
2024-06-21,67.10986
2024-06-22,67.413414
2024-06-23,67.88661
2024-06-24,68.457016
2024-06-25,69.14023
2024-06-26,69.91765
2024-06-27,70.695076
2024-06-28,71.4725
2024-06-29,72.26826
2024-06-30,73.18465
2024-07-01,76.69365
2024-07-02,75.84885
2024-07-03,75.004036
2024-07-04,74.23362
2024-07-05,73.47819
2024-07-06,72.722755
2024-07-07,71.97088
2024-07-08,71.40382
2024-07-09,70.867256
2024-07-10,70.41891
2024-07-11,69.99463
2024-07-12,69.57035
2024-07-13,69.33604
2024-07-14,69.17471
2024-07-15,69.01809
2024-07-16,68.94572
2024-07-17,68.93919
2024-07-18,69.05694
2024-07-19,69.21716
2024-07-20,69.4396
2024-07-21,69.78763
2024-07-22,70.328896
2024-07-23,70.87702
2024-07-24,71.42513
2024-07-25,71.97325
2024-07-26,72.65005
2024-07-27,73.35651
2024-07-28,74.133934
2024-07-29,74.94561
2024-07-30,75.81986
2024-07-31,76.71717
2024-08-01,80.20161
2024-08-02,79.446175
2024-08-03,78.69074
2024-08-04,77.93531
2024-08-05,77.17988
2024-08-06,76.46737
2024-08-07,75.814125
2024-08-08,75.16087
2024-08-09,74.52444
2024-08-10,73.98789
2024-08-11,73.51563
2024-08-12,73.09135
2024-08-13,72.682434
2024-08-14,72.42019
2024-08-15,72.27039
2024-08-16,72.24932
2024-08-17,72.230446
2024-08-18,72.33303
2024-08-19,72.4924
2024-08-20,72.84017
2024-08-21,73.24285
2024-08-22,73.70249
2024-08-23,74.17375
2024-08-24,74.69969
2024-08-25,75.254585
2024-08-26,75.91946
2024-08-27,76.628716
